"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment","Relative Threshold","Heat Metric"
"36","New York","36031","Essex","1998","8","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","1999","20","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","2000","3","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","2001","17","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","2002","32","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","2003","15","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","2004","4","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","2005","32","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","2006","14","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","2007","20","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","2008","11","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","2009","8","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","2010","26","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","2011","12","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","2012","23","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","2013","23","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","2014","9","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","2015","22","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","2016","32","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","2017","12","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","2018","30","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","2019","16","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","2020","32","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","2021","25","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","1979","18","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","1980","12","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","1981","5","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","1982","5","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","1983","15","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","1984","9","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","1985","5","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","1986","6","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","1987","15","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","1988","28","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","1989","14","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","1990","11","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","1991","16","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","1992","1","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","1993","10","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","1994","11","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","1995","20","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","1996","4","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","1997","12","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","1998","9","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","1999","23","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","2000","2","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","2001","19","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","2002","33","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","2003","12","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","2004","7","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","2005","33","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","2006","12","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","2007","20","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","2008","10","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","2009","5","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","2010","22","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","2011","10","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","2012","21","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","2013","16","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","2014","6","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","2015","23","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","2016","38","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","2017","10","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","2018","35","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","2019","18","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","2020","32","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36033","Franklin","2021","25","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","1979","14","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","1980","15","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","1981","6","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","1982","5","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","1983","22","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","1984","7","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","1985","3","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","1986","6","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","1987","17","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","1988","27","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","1989","9","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","1990","8","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","1991","18","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","1992","1","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","1993","10","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","1994","11","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","1995","19","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","1996","2","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","1997","7","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","1998","8","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","1999","22","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","2000","3","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","2001","14","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","2002","30","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","2003","13","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","2004","7","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","2005","33","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","2006","16","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","2007","21","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","2008","12","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","2009","8","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","2010","30","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","2011","14","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","2012","20","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","2013","23","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","2014","12","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","2015","21","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","2016","29","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","2017","16","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36035","Fulton","2018","29","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
